"text","word_scores","compound","pos","neu","neg","but_count"
"Right now @HSBC bosses are deciding whether to continue funding coal â€“ it should be a simple decision, but letâ€™s make it crystal clear for them. Email HSBC bosses and tell them to ditch coal now &gt;&gt; https://t.co/qKA2wr1n3T

#CleanUpHSBC","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.527,0.082,0.918,0,1
"The fight for climate justice includes the fight for democracy, peace, and freedom of speech! No one should get arrested and silences just because they're fighting for a safe present and a better future.

#FightClimateInjustice https://t.co/TbquGNvL2I","{0, -1.6, 0, 0, 2.4, 0, 0, -1.6, 0, 0, 2.5, 0, 3.2, 0, 0, -1.2, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, -1.5, 0, 0, 1.9, 0, 0, 0, 1.9, 0, 0, 0}",0.735,0.306,0.463,0.231,0
"|<U+FFE3><U+FFE3><U+FFE3><U+FFE3><U+FFE3><U+FFE3><U+FFE3><U+FFE3> |  
| #FridaysForFuture |
|_____ ______|
(\__/) || 
(â€¢<U+3145>â€¢) || 
/   <U+3065>

#saynoeumercosur","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"#SayNoEUMercosur
tag 3 people and pass it on
@AnunaDe 
@MartiComparelli 
@Maria_R333 https://t.co/85bYNw6aY1","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"#SayNoEUMercosur pass it on https://t.co/beJ1WVhq3w","{0, 0, 0, 0, 0}",0,0,1,0,0
"@VSinkevicius, #EUMercosur increases forest destruction, monocultures, pesticides, cars, human rights abuse and stands in  direct opposition to the goals of the Green New Deal. Take a   stand: profits for a few or a future for all of us? #SayNoEUMercosur","{0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, -3.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.718,0.062,0.769,0.169,0
"@VSinkevicius, #EUMercosur increases forest destruction, monocultures, pesticides, cars, human rights abuse and stands in direct opposition to the goals of the Green New Deal. Take a stand: profits for a few or a future for all of us? #SayNoEUMercosur https://t.co/7KuURn0R8k","{0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, -3.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.718,0.061,0.774,0.165,0
"Biodiversity is dying in Amazon Fires, indigenous being murdered. #EUMercosur deal would increase death of millions of endangered species. Bolsonaro called NGOs and indigenous in public â€œa cancer he couldn't kill yetâ€œ @vonderleyen Stop this crime and  #SayNoEUMercosur ! https://t.co/KV2QiwDFkW","{0, 0, 0, 0, 0.7, 0, 0, 0, -3.4, 0, 0, 0, 1.3, -2.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.4, 0, 0, 2.738, 0, 0, -1.2, 0, -2.5, 0, 0, 0, 0}",-0.918,0.132,0.548,0.32,0
"Brazil's government is killing indigenous people, 43 million hectares Amazon is burnt in 2020. 
The ICC runs a criminal case against him. Donâ€™t trade with antidemocratic, inhuman presidents like Bolsonaro! @vonderleyen #SayNoEUMercosur https://t.co/nhnsoufDxd","{0, 0, 0, -3.4, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0}",-0.709,0.102,0.702,0.196,0
"Join us!

Tweetstorm today at 1 PM GMT
#NoEUMercosur

<U+27A1><U+FE0F> example tweets &amp; who to tag: 
https://t.co/UeJTbvG19l
!!!!Especially heads of government &amp; economy ministers &amp; members of the EU - Commission!!!!

<U+27A1><U+FE0F> toolkit with sharepics: 
https://t.co/L14aeFN9Dw https://t.co/Ic4beKIMIA","{1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.522,0.086,0.914,0,0
"<U+0001F4E3> Join our campaign at https://t.co/xO10MqXpDk","{0, 1.2, 0, 0, 0, 0}",0.296,0.306,0.694,0,0
"<U+0001F440> Today @stanchart presented the bank's yearly results. A few Fridays for Future activists decided to go to the conference to ask them to #CleanUpStandardChartered!

""wE hAVe a gReAT tRAcK rEcOrD"" - Bill Winters, CEO

Time to #RaiseYourStandards! Stop funding our destruction! https://t.co/V4ZHP7qib6","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, -2.7, 0}",-0.397,0.081,0.786,0.133,0
"@StanChart the greenwashing continues <U+0001F644> #CleanUpStandardChartered #RaiseYourStandards 

https://t.co/xyAGC1QJsP","{0, 0, -0.4, 0, 0, 0, 0, 0}",-0.103,0,0.833,0.167,0
"Hey @StanChart &amp; Bill Winters, where is the resilience for people who get pushed from their land due to the coal projects you finance? What about the people suffering from the climate crisis you fuel and finance?

#RaiseYourStandards
#CleanUpStandardChartered https://t.co/G8w02GONTl","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0}",-0.821,0,0.834,0.166,0
"""The net effects will collapse ecosystems, slash crop yields, take out the infrastructure that our civilisation depends on, and destroy the basis of the modern economy and modern society.""

https://t.co/cR2jl3o0r3","{0, 0, 0, 0, -2.2, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.832,0,0.754,0.246,0
